"","FIPS","Geography.x","TotalPop","PovertyRate","BlackPop","BlackPovertyRate","AsianPop","AsianPoverty","HispanicPop","HispanicPoverty","WhitePop","WhitePovertyRate","PercentBachelor.s","State..FIPS.","Place..FIPS.","Area.Name","SqMiles","tot.protests","tot.attend","deaths","deaths_unarmed","deaths_unarmed_black","deaths_armed_black","deaths_black","deaths_protestyear","deaths_protestyear_unarmed","X.x","NAACPyears","MayorPartisanship","blackmayor","FIPS_PLACE","dem","rep","dem_share","FIPS_ST","X.y","pop","hbcu","hbcu2","crime","deathduring","per_ba","Per_Black","pop.density","collegeenrollpc","mayorrep","unarmed_deaths_pc","deaths_pc","unarmed_deaths_black_pc","deaths_black_pc","anyprotests"
"21872","4804462","Atascocita CDP, Texas",66908,5.7,12982,7.1,2213,"4",15838,"8",34665,"4.5","34.5410628",48,4462,"Atascocita",26.28,0,0,1,0,0,1,1,0,0,NA,0,NA,NA,4462,8383.779,14284.05,36.98537,48,NA,0,0,0,0,0,34.5410628,19.4027620015544,2545.96651445967,0,0,0,0.149458958569977,0,0.149458958569977,0
"21877","4805000","Austin city, Texas",844908,19,64989,26.8,55364,"15.8",296483,"29.6",409882,"10.8","46.24250453",48,5000,"Austin",295.562,2,1048,5,1,1,0,1,8,1,1164,12,"D",0,5000,208837.7,94407.82,68.86753,48,1612,60500,1,1,0,1,46.24250453,7.69184337229616,2858.64894675229,7.16054292301647,0,0.0118356081372173,0.0591780406860865,0.0118356081372173,0.0118356081372173,1
"21907","4806128","Baytown city, Texas",73482,20.6,12704,28.5,816,"9.7",32219,"23.1",26906,"13.9","13.54133955",48,6128,"Baytown",36.002,0,0,0,0,0,0,0,2,2,1166,1,"R",0,6128,7197.726,10334.1,41.05521,48,1614,7500,0,0,0,1,13.54133955,17.2885876813369,2041.05327481807,10.2065812035601,1,0,0,0,0,0
"21912","4807000","Beaumont city, Texas",113654,23.2,54194,30.5,3840,"23.8",15793,"24.6",38303,"12.2","22.81747931",48,7000,"Beaumont",82.8,0,0,1,0,0,0,0,0,0,1167,13,"R",0,7000,25655.34,16747.43,60.50392,48,NA,0,0,0,0,0,22.81747931,47.683319548806,1372.63285024155,0,1,0,0.0879863445193306,0,0,0
"21914","4807132","Bedford city, Texas",47669,8.1,3055,10.9,2234,"12.5",6018,"14.1",34879,"6.4","35.56592022",48,7132,"Bedford",10.012,0,0,0,0,0,0,0,0,0,1168,1,"R",0,7132,7796.549,14016.87,35.74198,48,NA,0,0,0,0,0,35.56592022,6.40877719272483,4761.18657610867,0,1,0,0,0,0,0
"21992","4810768","Brownsville city, Texas",177711,35.7,610,19.5,1465,"0.7",166690,"37.1",8781,"17","17.29374068",48,10768,"Brownsville",132.255,0,0,0,0,0,0,0,2,0,NA,0,"D ",0,10768,22970.76,8452.067,73.10215,48,NA,0,0,0,0,0,17.29374068,0.343253934759244,1343.69967108994,0,0,0,0,0,0,0
"21998","4810912","Bryan city, Texas",74887,27.3,12348,42,1706,"21.5",28955,"30.5",31145,"18.5","27.20948981",48,10912,"Bryan",43.949,0,0,0,0,0,0,0,0,0,1175,2,"R",0,10912,8875.604,11816.24,42.89422,48,NA,0,0,0,0,0,27.20948981,16.4888431904069,1703.95230835741,0,1,0,0,0,0,0
"22014","4811428","Burleson city, Texas",39123,8.5,1315,2.2,246,"0",4844,"8.1",32174,"8.7","24.12544745",48,11428,"Burleson",26.226,0,0,0,0,0,0,0,0,0,NA,0,"R",0,11428,3333.613,9741.867,25.49515,48,NA,0,0,0,0,0,24.12544745,3.36119418245022,1491.76389842141,0,1,0,0,0,0,0
"22049","4813024","Carrollton city, Texas",123781,9.4,11076,10.8,17321,"7.8",40106,"17.1",52741,"3.8","36.62031541",48,13024,"Carrollton",36.33,0,0,0,0,0,0,0,0,0,NA,0,"R",0,13024,18193.21,24204.94,42.91039,48,NA,0,0,0,0,0,36.62031541,8.94806149570613,3407.12909441233,0,1,0,0,0,0,0
"22057","4813492","Cedar Hill city, Texas",45926,9.9,24157,9,1288,"10.2",9275,"16.5",10135,"4.9","30.29853383",48,13492,"Cedar Hill",35.573,0,0,0,0,0,0,0,0,0,NA,0,"R",0,13492,13283.63,5704.966,69.95583,48,NA,0,0,0,0,0,30.29853383,52.5998345163959,1291.03533578838,0,1,0,0,0,0,0
"22058","4813552","Cedar Park city, Texas",57964,6,3290,8.7,4598,"3",9292,"6",39357,"5.4","44.22814394",48,13552,"Cedar Park",22.832,0,0,0,0,0,0,0,0,0,NA,0,"R",0,13552,8080.995,10259.92,44.05994,48,NA,0,0,0,0,0,44.22814394,5.67593678835139,2538.71758934828,0,1,0,0,0,0,0
"22067","4814236","Channelview CDP, Texas",38722,22.4,6036,6.9,223,"16.1",24047,"28.4",7644,"16.5","9.902338248",48,14236,"Channelview",14.772,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,14236,4206.33,3138.743,57.26736,48,NA,0,0,0,0,0,9.902338248,15.5880378079645,2621.31058759816,0,0,0,0,0,0,0
"22112","4815976","College Station city, Texas",87649,35.5,6565,37.7,8398,"40.3",11984,"39.9",59225,"33.6","55.40076877",48,15976,"College Station",49.155,1,24,0,0,0,0,0,0,0,NA,0,"R",0,15976,9177.108,17561.14,34.32203,48,1629,30000,0,0,0,0,55.40076877,7.49010256819815,1783.11463737158,34.2274298622916,1,0,0,0,0,1
"22126","4816432","Conroe city, Texas",59441,20.4,6004,34.7,632,"4.7",22323,"31.3",30265,"9.9","20.47852298",48,16432,"Conroe",52.721,0,0,2,1,0,0,0,1,0,NA,0,"R",0,16432,4316.623,10130.12,29.87956,48,NA,0,0,0,0,0,20.47852298,10.1007721942767,1127.46343961609,0,1,0.168234047206474,0.336468094412947,0,0,0
"22131","4816612","Coppell city, Texas",39983,4.2,2059,10.3,7777,"5.2",4521,"10.3",24757,"2.3","63.22909481",48,16612,"Coppell",14.429,0,0,0,0,0,0,0,0,0,NA,0,"R",0,16612,5634.303,11524.15,32.83689,48,NA,0,0,0,0,0,63.22909481,5.14968861766251,2771.01670247418,0,1,0,0,0,0,0
"22132","4816624","Copperas Cove city, Texas",32718,9.6,5962,8.5,719,"12.7",4974,"16.1",19625,"7.5","20.21350546",48,16624,"Copperas Cove",18.015,0,0,1,0,0,0,0,0,0,NA,0,"NP",0,16624,4130.654,5530.267,42.75632,48,NA,0,0,0,0,0,20.21350546,18.2223852313711,1816.15320566195,0,0,0,0.305642154165903,0,0,0
"22135","4817000","Corpus Christi city, Texas",306506,17.6,13614,25.1,5523,"16.4",187111,"21.3",97793,"10","21.33565757",48,17000,"Corpus Christi",160.657,0,0,1,0,0,0,0,0,0,NA,0,"D ",0,17000,42128.85,46476.48,47.54663,48,NA,0,0,0,0,0,21.33565757,4.44167487749016,1907.82847930685,0,0,0,0.0326257887284425,0,0,0
"22175","4819000","Dallas city, Texas",1224026,24.1,299097,31.7,37025,"21.1",514433,"29.7",356098,"9.8","29.96406455",48,19000,"Dallas",340.35,7,476,14,4,2,2,4,11,4,1183,13,"D",0,19000,234917.2,125364.5,65.20376,48,1632,15500,0,0,0,1,29.96406455,24.4355103568061,3596.37432055237,1.26631297047612,0,0.0326790443993837,0.114376655397843,0.0163395221996918,0.0326790443993837,1
"22186","4819624","Deer Park city, Texas",32725,8.6,562,8.5,409,"13",9478,"13.6",21785,"6.4","19.5925675",48,19624,"Deer Park",10.456,0,0,0,0,0,0,0,0,0,NA,0,"R",0,19624,2636.571,9164.944,22.34096,48,1633,30000,0,0,0,0,19.5925675,1.71734148204736,3129.78194338179,91.6730328495034,1,0,0,0,0,0
"22192","4819792","Del Rio city, Texas",35233,21.3,365,0.8,204,"0",29663,"23.4",4859,"11.4","16.79749556",48,19792,"Del Rio",15.452,0,0,0,0,0,0,0,1,0,NA,0,"R",0,19792,5708.252,3681.471,60.79255,48,NA,0,0,0,0,0,16.79749556,1.03596060511452,2280.15790836138,0,1,0,0,0,0,0
"22195","4819972","Denton city, Texas",112193,21.3,11133,30.6,4962,"47.3",24807,"26.2",68111,"15.8","39.14665632",48,19972,"Denton",85.009,1,135,0,0,0,0,0,0,0,NA,0,"R",0,19972,18615.63,19324.13,49.06628,48,1634,45000,0,0,0,0,39.14665632,9.92307897997201,1319.77790586879,40.1094542440259,1,0,0,0,0,1
"22198","4820092","DeSoto city, Texas",50319,11.9,34823,11.1,198,"0",6591,"18",8040,"8.5","28.85143198",48,20092,"DeSoto",21.618,0,0,0,0,0,0,0,0,0,NA,0,"R",1,20092,18172.3,4674.067,79.54131,48,NA,0,0,0,0,0,28.85143198,69.2044754466504,2327.64363030808,0,1,0,0,0,0,0
