"","FIPS","Geography.x","TotalPop","PovertyRate","BlackPop","BlackPovertyRate","AsianPop","AsianPoverty","HispanicPop","HispanicPoverty","WhitePop","WhitePovertyRate","PercentBachelor.s","State..FIPS.","Place..FIPS.","Area.Name","SqMiles","tot.protests","tot.attend","deaths","deaths_unarmed","deaths_unarmed_black","deaths_armed_black","deaths_black","deaths_protestyear","deaths_protestyear_unarmed","X.x","NAACPyears","MayorPartisanship","blackmayor","FIPS_PLACE","dem","rep","dem_share","FIPS_ST","X.y","pop","hbcu","hbcu2","crime","deathduring","per_ba","Per_Black","pop.density","collegeenrollpc","mayorrep","unarmed_deaths_pc","deaths_pc","unarmed_deaths_black_pc","deaths_black_pc","anyprotests"
"8068","2467675","Rockville city, Maryland",62730,6.5,5638,14,12460,"9.1",9998,"6.9",32832,"4.5","62.65566625",24,67675,"Rockville",13.493,0,0,0,0,0,0,0,0,0,506,4,"I",0,67675,20166,8293,70.85983,24,744,30000,0,0,0,0,62.65566625,8.98772517136936,4649.0772993404,47.8240076518412,0,0,0,0,0,0
"8081","2469925","Salisbury city, Maryland",30109,30.7,10729,36.1,969,"36.5",1977,"39",15368,"25","28.20742867",24,69925,"Salisbury",13.333,1,40,2,0,0,2,2,1,0,NA,0,"D",0,69925,5758,3843,59.97292,24,NA,0,0,0,1,0,28.20742867,35.6338636288153,2258.23145578639,0,0,0,0.664253213324919,0,0.664253213324919,1
"8090","2471150","Severn CDP, Maryland",45303,8.4,15390,9.6,4036,"4.5",3110,"10.5",20917,"6","36.02704654",24,71150,"Severn",13.943,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,71150,11841,6749,63.69554,24,NA,0,0,0,0,0,36.02704654,33.9712601814449,3249.15728322456,0,0,0,0,0,0,0
"8091","2471200","Severna Park CDP, Maryland",37898,2.7,1347,4.2,1322,"0",895,"5.1",33483,"2.7","57.2406777",24,71200,"Severna Park",12.963,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,71200,8498,12781,39.93609,24,NA,0,0,0,0,0,57.2406777,3.55427727056837,2923.55164699529,0,0,0,0,0,0,0
"8097","2472450","Silver Spring CDP, Maryland",75385,11.8,19869,11.9,6309,"15.3",20842,"18.1",26906,"6.2","53.37780058",24,72450,"Silver Spring",9.414,0,0,1,0,0,1,1,1,1,NA,0,NA,NA,72450,21499,3351,86.51509,24,NA,0,0,0,0,1,53.37780058,26.3567022617232,8007.75440832802,0,0,0,0.13265238442661,0,0.13265238442661,0
"8128","2478425","Towson CDP, Maryland",48740,11.6,4328,24.7,3304,"21.7",1815,"10.7",38261,"9.1","65.07926773",24,78425,"Towson",14.146,0,0,0,0,0,0,0,0,0,510,1,NA,NA,78425,13827,9698,58.77577,24,747,40000,0,0,0,0,65.07926773,8.8797702092737,3445.49696027145,82.0681165367255,0,0,0,0,0,0
"8140","2481175","Waldorf CDP, Maryland",71071,8.9,38772,9.2,3021,"15.5",4255,"13.4",21807,"6","26.84199915",24,81175,"Waldorf",12.668,0,0,0,0,0,0,0,1,0,NA,0,NA,NA,81175,29399,9866,74.8733,24,NA,0,0,0,0,0,26.84199915,54.5538968074179,5610.27786548784,0,0,0,0,0,0,0
"8154","2483775","Wheaton CDP, Maryland",49545,11.4,9676,12.4,6728,"8.2",20244,"15.3",11818,"6.5","34.31340094",NA,NA,NA,NA,1,20,0,0,0,0,0,0,0,NA,0,NA,NA,83775,9771,3131,75.73244,24,NA,0,0,0,0,0,34.31340094,19.529720456151,NA,0,0,0,0,0,0,1
"8165","2486475","Woodlawn CDP (Baltimore County), Maryland",39192,8,23628,6.1,3662,"15.3",2024,"10.3",8523,"8.3","33.45094468",24,86475,"Woodlawn",9.538,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,86475,14643,2549,85.17334,24,NA,0,0,0,0,0,33.45094468,60.2878138395591,4109.03753407423,0,0,0,0,0,0,0
"8182","2501640","Arlington CDP, Massachusetts",43482,4.4,873,7.6,3927,"7.1",1646,"3.9",35989,"4.1","67.48303516",25,1640,"Arlington",5.16,1,400,0,0,0,0,0,0,0,NA,0,NA,NA,1640,14553,2280,86.45518,25,NA,0,0,0,0,0,67.48303516,2.00772733544915,8426.74418604651,0,0,0,0,0,0,1
"8185","2502690","Attleboro city, Massachusetts",43229,9.2,1971,6,1979,"14.7",2878,"20.9",35757,"8.4","30.47152727",25,2690,"Attleboro",26.809,0,0,0,0,0,0,0,0,0,NA,0,"R",0,2690,6688,3160,67.91227,25,NA,0,0,0,0,0,30.47152727,4.55943926530801,1612.48088328546,0,1,0,0,0,0,0
"8188","2503690","Barnstable Town city, Massachusetts",44409,13,1479,41.6,365,"11.2",1596,"24.2",39491,"10.6","37.47081013",25,3690,"Barnstable Town",59.737,0,0,0,0,0,0,0,0,0,513,1,NA,NA,3690,7895,5454,59.14301,25,751,2500,0,0,0,0,37.47081013,3.33040599878403,743.408607730552,5.62948951789052,0,0,0,0,0,0
"8193","2505595","Beverly city, Massachusetts",37476,8.6,489,22.1,767,"6.9",1281,"25.7",34452,"7.7","45.798412",25,5595,"Beverly",16.223,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,5595,7120,2984,70.46714,25,752,10000,0,0,0,0,45.798412,1.30483509446045,2310.0536275658,26.683744262995,0,0,0,0,0,0
"8196","2507000","Boston city, Massachusetts",597942,21.9,156752,25.4,53299,"30.4",113622,"33.2",266988,"14.1","44.89894813",25,7000,"Boston",48.266,16,5089,4,0,0,3,3,2,0,NA,0,"D",0,7000,200362,24487,89.10958,25,753,15500,0,0,0,0,44.89894813,26.2152516464808,12388.4722164671,2.59222466393062,0,0,0.0668961203594998,0,0.0501720902696248,1
"8199","2507740","Braintree Town city, Massachusetts",35993,5.3,1679,10.1,2843,"7.7",987,"3.3",29681,"4.5","37.34187414",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,7740,9411,2868,76.64305,25,NA,0,0,0,0,0,37.34187414,4.66479593254244,NA,0,0,0,0,0,0,0
"8203","2509000","Brockton city, Massachusetts",92550,17.9,36357,20.8,1607,"13.8",9345,"26.3",39769,"13.6","18.20572469",25,9000,"Brockton",21.339,0,0,0,0,0,0,0,1,1,514,2,"D ",0,9000,26632,4510,85.51795,25,755,10000,0,0,1,1,18.20572469,39.2836304700162,4337.12920005624,10.8049702863317,0,0,0,0,0,0
"8205","2509210","Brookline CDP, Massachusetts",57493,11.8,1392,25.2,9508,"15.1",3199,"13.6",42317,"10.7","81.57750684",25,9210,"Brookline",6.766,3,625,0,0,0,0,0,0,0,NA,0,NA,NA,9210,20286,3230,86.26467,25,756,3500,0,0,0,0,81.57750684,2.42116431565582,8497.33963937334,6.08769763275529,0,0,0,0,0,1
"8208","2511000","Cambridge city, Massachusetts",90989,15,10667,28.5,12367,"18",6498,"28.4",58334,"10.2","74.42160674",25,11000,"Cambridge",6.385,5,810,0,0,0,0,0,0,0,NA,0,"D",0,11000,35814,2827,92.68394,25,757,120000,0,0,0,0,74.42160674,11.7233951356757,14250.430696946,131.884073899043,0,0,0,0,0,1
"8211","2513205","Chelsea city, Massachusetts",36556,22.6,2356,27.2,1180,"12.8",23244,"25.9",8821,"12.2","16.49946638",25,13205,"Chelsea",2.203,0,0,1,0,0,0,0,0,0,515,18,"I",0,13205,6331,667,90.46871,25,NA,0,0,0,1,0,16.49946638,6.44490644490645,16593.735814798,0,0,0,0.273552905131852,0,0,0
"8214","2513660","Chicopee city, Massachusetts",54816,12.9,1710,35.3,772,"15.9",9193,"31.9",42275,"7.7","17.74051648",25,13660,"Chicopee",22.825,0,0,0,0,0,0,0,0,0,NA,0,"I",0,13660,14474,3680,79.72899,25,758,2500,0,0,0,0,17.74051648,3.11952714535902,2401.57721796276,4.56071220081728,0,0,0,0,0,0
"8239","2521990","Everett city, Massachusetts",42538,13.8,7120,11.6,1710,"19",8901,"18.9",23152,"11.8","16.12400416",25,21990,"Everett",3.44,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,21990,9734,933,91.2534,25,761,22500,0,0,0,0,16.12400416,16.7379754572382,12365.6976744186,52.8938831162725,0,0,0,0,0,0
"8241","2523000","Fall River city, Massachusetts",87370,23.3,3459,36.1,1893,"26.1",7548,"51",71460,"19.5","13.90748178",25,23000,"Fall River",33.133,1,12,0,0,0,0,0,0,0,NA,0,"D",0,23000,27903,3222,89.64819,25,762,7500,0,0,1,0,13.90748178,3.95902483690054,2636.94805782754,8.58418221357445,0,0,0,0,0,1
"8244","2523875","Fitchburg city, Massachusetts",38286,19.8,1446,33.5,1688,"21.8",9494,"35.9",25174,"13.3","20.84042932",25,23875,"Fitchburg",27.787,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,23875,7144,2138,76.96617,25,763,7500,0,0,0,0,20.84042932,3.77683748628742,1377.83855759888,19.5894060492086,0,0,0,0,0,0
"8248","2524960","Framingham CDP, Massachusetts",66584,11.3,5444,31.5,5013,"3.9",9533,"27.2",44693,"7.4","46.57345328",25,24960,"Framingham",25.002,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,24960,12547,3428,78.54147,25,764,7500,0,0,0,0,46.57345328,8.17613841163042,2663.14694824414,11.2639673194762,0,0,0,0,0,0
"8249","2525172","Franklin Town city, Massachusetts",31365,3.8,235,0.4,1195,"0.1",945,"8.1",28678,"3.7","51.62777015",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,25172,4746,3062,60.78381,25,765,2500,0,0,0,0,51.62777015,0.749242786545513,NA,7.97066794197354,0,0,0,0,0,0
"8266","2529405","Haverhill city, Massachusetts",60549,12.2,1446,12.5,783,"11.2",10633,"27.8",46446,"8.6","28.86163281",25,29405,"Haverhill",32.911,0,0,0,0,0,0,0,0,0,516,2,"D ",0,29405,12822,4838,72.60476,25,770,7500,0,0,0,0,28.86163281,2.38814844175791,1839.78001276169,12.3866620423128,0,0,0,0,0,0
"8271","2530840","Holyoke city, Massachusetts",39081,30.1,1725,32.9,662,"8.9",18768,"47.4",17624,"12.8","23.39491277",25,30840,"Holyoke",21.228,0,0,0,0,0,0,0,0,0,517,6,"D ",0,30840,11039,2074,84.18363,25,771,7500,0,0,1,0,23.39491277,4.4139095724265,1841.01187111362,19.190911184463,0,0,0,0,0,0
"8282","2534550","Lawrence city, Massachusetts",76583,28.5,5357,26.9,2541,"14.2",58334,"32.3",13227,"14.8","11.95960663",25,34550,"Lawrence",6.942,0,0,0,0,0,0,0,0,0,NA,0,"D ",1,34550,19423,2344,89.23141,25,NA,0,0,0,1,0,11.95960663,6.99502500554954,11031.8352059925,0,0,0,0,0,0,0
"8285","2535075","Leominster city, Massachusetts",40543,11.7,2088,9,1045,"8",6163,"25.5",30359,"9.3","26.4128104",25,35075,"Leominster",28.846,0,0,0,0,0,0,0,0,0,NA,0,"R",0,35075,8180,3126,72.35096,25,NA,0,0,0,0,0,26.4128104,5.15008756135461,1405.49816265687,0,1,0,0,0,0,0
"8286","2535250","Lexington CDP, Massachusetts",31887,4.4,350,16.6,7075,"4.1",577,"0.3",22947,"4.2","77.71053959",25,35250,"Lexington",16.371,1,150,0,0,0,0,0,0,0,NA,0,NA,NA,35250,8527,2261,79.04153,25,NA,0,0,0,0,0,77.71053959,1.09762599178349,1947.77350192413,0,0,0,0,0,0,1
"8289","2537000","Lowell city, Massachusetts",104183,19.1,7262,21.6,22268,"19.1",19323,"36.6",51531,"12.8","21.61009599",25,37000,"Lowell",13.598,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,37000,15721,3784,80.59985,25,773,15000,0,0,0,0,21.61009599,6.97042703704059,7661.64141785557,14.3977424339864,0,0,0,0,0,0
"8292","2537490","Lynn city, Massachusetts",90610,20.9,11352,20.2,6980,"22.7",31110,"30.5",39343,"12.7","19.34974693",25,37490,"Lynn",10.711,0,0,1,0,0,1,1,1,0,519,1,"R",0,37490,23547,3203,88.02617,25,NA,0,0,0,0,0,19.34974693,12.5284184968547,8459.52758846046,0,1,0,0.110363094581172,0,0.110363094581172,0
"8295","2537875","Malden city, Massachusetts",60150,16.8,7963,22.6,14338,"23.4",6709,"14.9",28611,"12.3","31.77172466",25,37875,"Malden",5.061,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,37875,13186,1784,88.08283,25,NA,0,0,0,0,0,31.77172466,13.238570241064,11885.0029638411,0,0,0,0,0,0,0
"8300","2538715","Marlborough city, Massachusetts",38739,7.4,793,10.1,1786,"16.4",4962,"15.1",28726,"5.6","39.47226127",25,38715,"Marlborough",20.867,0,0,0,0,0,0,0,0,0,NA,0,"R",0,38715,6395,2683,70.44503,25,NA,0,0,0,0,0,39.47226127,2.04703270605849,1856.47194134279,0,1,0,0,0,0,0
"8308","2539835","Medford city, Massachusetts",54651,10.5,5075,13.2,3904,"6.6",2479,"18",41695,"9.9","45.22462235",25,39835,"Medford",8.089,1,0,0,0,0,0,0,0,0,NA,0,"D",0,39835,16326,2538,86.5458,25,774,15000,0,0,0,0,45.22462235,9.2861978737809,6756.21213994313,27.4468902673327,0,0,0,0,0,1
"8311","2540710","Methuen Town city, Massachusetts",47805,9.1,1645,19,1578,"4.7",10287,"18.4",34489,"6.6","28.94793625",25,40710,"Methuen",22.313,0,0,0,0,0,0,0,1,0,NA,0,"D ",0,40710,11394,3716,75.40702,25,NA,0,0,0,0,0,28.94793625,3.44106265035038,2142.47299780397,0,0,0,0,0,0,0
"8327","2545000","New Bedford city, Massachusetts",93034,24,6881,29.6,1105,"27",16507,"42.5",62011,"17.6","15.4647856",25,45000,"New Bedford",19.934,0,0,0,0,0,0,0,1,0,520,12,"D ",0,45000,29123,3548,89.14022,25,NA,0,0,0,1,0,15.4647856,7.39622073650493,4667.10143473462,0,0,0,0,0,0,0
"8330","2545560","Newton city, Massachusetts",79162,5.6,2497,22.6,10697,"6.7",4006,"11.9",59954,"4.4","76.33715846",25,45560,"Newton",17.836,1,500,0,0,0,0,0,0,0,NA,0,"D",1,45560,25847,4541,85.0566,25,776,5000,0,0,0,0,76.33715846,3.15429120032339,4438.32697914331,6.31616179480054,0,0,0,0,0,1
"8359","2552490","Peabody city, Massachusetts",51420,7.7,1266,22,1233,"14.1",4059,"16.8",44445,"6.5","28.97725768",25,52490,"Peabody",16.209,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,52490,11836,2986,79.85427,25,NA,0,0,0,0,0,28.97725768,2.46207701283547,3172.31167869702,0,0,0,0,0,0,0
"8363","2553960","Pittsfield city, Massachusetts",43320,16.4,2518,35.8,633,"4.7",2228,"31.7",36952,"13.9","26.22569334",25,53960,"Pittsfield",40.507,0,0,0,0,0,0,0,0,0,521,1,"D ",0,53960,13068,2909,81.79258,25,781,2500,0,0,0,0,26.22569334,5.81255771006463,1069.44478732071,5.77100646352724,0,0,0,0,0,0
"8369","2555745","Quincy city, Massachusetts",91914,10,5201,9.9,23906,"11.5",2815,"17.4",57935,"8.9","40.18545789",25,55745,"Quincy",16.573,0,0,0,0,0,0,0,0,0,522,2,"D ",0,55745,27100,6504,80.64516,25,782,5000,0,0,0,0,40.18545789,5.65855038405466,5546.00856815302,5.43986770241748,0,0,0,0,0,0
"8370","2555990","Randolph CDP, Massachusetts",32752,11.4,14209,14.7,3646,"13.2",2173,"21",12231,"5.8","29.43756786",25,55990,"Randolph",9.85,0,0,1,0,0,0,0,0,0,NA,0,NA,NA,55990,9732,1224,88.82804,25,NA,0,0,0,0,0,29.43756786,43.3836101612115,3325.07614213198,0,0,0,0.305324865657059,0,0,0
"8373","2556585","Revere city, Massachusetts",52979,15.5,2729,12.2,3156,"12.1",13930,"17",32496,"15.7","19.02728839",25,56585,"Revere",5.677,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,56585,11251,1654,87.18326,25,NA,0,0,0,0,0,19.02728839,5.1510976047113,9332.21772062709,0,0,0,0,0,0,0
"8380","2559105","Salem city, Massachusetts",40482,14.4,2452,37.6,869,"15.9",6546,"29.9",30183,"9.3","38.14425843",25,59105,"Salem",8.287,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,59105,10131,1949,83.86589,25,784,7500,0,0,0,0,38.14425843,6.05701299342918,4885.00060335465,18.5267526307989,0,0,0,0,0,0
"8395","2562535","Somerville city, Massachusetts",74852,15.5,5696,34.1,6961,"20.1",7103,"24.7",53020,"12.2","55.41330265",25,62535,"Somerville",4.106,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,62535,23414,1878,92.57473,25,786,5000,0,0,0,0,55.41330265,7.60968310799979,18229.9074525085,6.67984823384813,0,0,0,0,0,0
"8411","2567000","Springfield city, Massachusetts",148051,30.1,32374,28.3,3183,"11.4",62898,"44.9",49306,"13.5","17.95405506",25,67000,"Springfield",31.879,0,0,3,0,0,2,2,0,0,524,12,"D ",0,67000,46268,7802,85.57056,25,788,15000,0,0,1,0,17.95405506,21.8667891469831,4644.15445904828,10.1316438254385,0,0,0.202632876508771,0,0.13508858433918,0
"8415","2569170","Taunton city, Massachusetts",55326,13.1,3065,13.8,583,"15.3",3627,"38.6",46891,"10.7","18.62067186",25,69170,"Taunton",46.697,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,69170,11724,2750,81.00041,25,NA,0,0,0,0,0,18.62067186,5.53989082890504,1184.78703128681,0,0,0,0,0,0,0
"8425","2572600","Waltham city, Massachusetts",54906,10.4,3275,19.2,5951,"19.1",8111,"19.7",36249,"6","48.22829907",25,72600,"Waltham",12.741,1,75,0,0,0,0,0,0,0,NA,0,"R",0,72600,12667,3439,78.64771,25,790,15000,0,0,0,0,48.22829907,5.96473973700506,4309.39486696492,27.3194186427713,1,0,0,0,0,1
"8430","2573440","Watertown Town city, Massachusetts",32483,7.3,1038,3.4,2394,"4.3",2733,"9.4",25365,"7.6","57.71230503",25,73440,"Watertown",4.004,0,0,1,0,0,0,0,0,0,NA,0,NA,NA,73440,9976,1758,85.0179,25,791,15000,0,0,0,0,57.71230503,3.19551765538897,8112.63736263736,46.1780008004187,0,0,0.307853338669458,0,0,0
"8439","2576030","Westfield city, Massachusetts",38235,10.9,678,22.1,1125,"46.4",3335,"36.6",32381,"6.5","30.39861896",25,76030,"Westfield",46.202,0,0,1,0,0,0,0,0,0,NA,0,"D ",0,76030,7089,4430,61.5418,25,793,7500,0,0,0,0,30.39861896,1.77324440957238,827.561577420891,19.6155355041193,0,0,0.261540473388257,0,0,0
"8444","2578972","Weymouth Town city, Massachusetts",54314,6.6,2068,3.3,2709,"1.7",1391,"16.8",46867,"6.2","32.13076651",NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,"R",0,78972,12003,3519,77.32895,25,NA,0,0,0,0,0,32.13076651,3.80748978164009,NA,0,1,0,0,0,0,0
"8453","2581035","Woburn city, Massachusetts",38598,6.8,1822,28,2506,"12.5",1649,"11.4",31994,"5.1","35.40543398",25,81035,"Woburn",12.642,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,81035,9605,2568,78.90413,25,NA,0,0,0,0,0,35.40543398,4.72045183688274,3053.1561461794,0,0,0,0,0,0,0
"8455","2582000","Worcester city, Massachusetts",171864,22,21873,23.1,12110,"17.4",36584,"40.9",98986,"15.3","30.24973712",25,82000,"Worcester",37.388,3,420,0,0,0,0,0,1,1,527,8,"D",0,82000,41976,8400,83.32539,25,795,32500,0,0,1,1,30.24973712,12.7269236140204,4596.76901679683,18.9103011683657,0,0,0,0,0,1
"8483","2603000","Ann Arbor city, Michigan",105161,22.6,8159,26.2,15565,"29.8",4978,"25.2",72609,"20.6","71.04776009",26,3000,"Ann Arbor",27.806,4,250,0,0,0,0,0,1,0,530,8,"D",0,3000,51539,10664,82.85613,26,801,30500,0,0,0,0,71.04776009,7.7585797016004,3781.95353520823,29.0031475547018,0,0,0,0,0,1
"8509","2605920","Battle Creek city, Michigan",50833,21.8,9274,34.3,1450,"5",3841,"34.1",34044,"17","21.7077879",26,5920,"Battle Creek",42.601,0,0,0,0,0,0,0,0,0,NA,0,"NP",0,5920,12068,7374,62.0718,26,NA,0,0,0,1,0,21.7077879,18.2440540593709,1193.23490058919,0,0,0,0,0,0,0
"8510","2606020","Bay City city, Michigan",34193,23.6,927,47.5,189,"28",3002,"33.3",28901,"21","16.32462687",26,6020,"Bay City",10.172,0,0,0,0,0,0,0,1,0,532,10,"R",0,6020,11184,5555,66.81403,26,NA,0,0,0,0,0,16.32462687,2.71108121545346,3361.48250098309,0,1,0,0,0,0,0
"8640","2621000","Dearborn city, Michigan",96362,28.6,3375,17.3,1994,"18",3355,"14.3",84196,"29.6","29.26578107",26,21000,"Dearborn",24.224,0,0,0,0,0,0,0,1,0,NA,0,"D ",0,21000,27220,13728,66.47455,26,810,22500,0,0,0,0,29.26578107,3.5024179655881,3977.95574636724,23.3494531039206,0,0,0,0,0,0
"8641","2621020","Dearborn Heights city, Michigan",56483,19.4,4606,28.9,1131,"9.2",2472,"16.2",46106,"18.6","20.71260041",26,21020,"Dearborn Heights",11.743,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,21020,16069,9443,62.98605,26,NA,0,0,0,0,0,20.71260041,8.15466600570083,4809.92931959465,0,0,0,0,0,0,0
"8648","2622000","Detroit city, Michigan",685058,39.8,556491,39.5,8049,"54.9",50450,"40.4",57608,"38.9","13.1297216",26,22000,"Detroit",138.751,4,885,8,0,0,2,2,3,1,NA,0,"D",0,22000,251266,6394,97.51844,26,811,30000,0,0,1,1,13.1297216,81.2326839479285,4937.3193706712,4.37919125095977,0,0,0.116778433358927,0,0.0291946083397318,1
"8667","2624120","East Lansing city, Michigan",32245,42.9,2321,47.4,2765,"50.5",1126,"28.5",24618,"43.5","70.44020749",26,24120,"East Lansing",13.594,2,230,0,0,0,0,0,0,0,NA,0,"D",0,24120,19099,6226,75.4156,26,814,30000,0,0,0,0,70.44020749,7.19801519615444,2372.0023539797,93.0376802605055,0,0,0,0,0,1
"8668","2624290","Eastpointe city, Michigan",32446,23.5,12771,34.6,510,"35.5",1059,"20.9",17263,"14.3","13.36063599",26,24290,"Eastpointe",5.137,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,24290,11235,4745,70.30663,26,NA,0,0,0,0,0,13.36063599,39.3607840719965,6316.13782363247,0,0,0,0,0,0,0
"8694","2627440","Farmington Hills city, Michigan",80281,7.9,14876,7,8797,"4.3",2500,"15.8",51886,"8.2","52.99366575",26,27440,"Farmington Hills",33.28,0,0,0,0,0,0,0,0,0,NA,0,"R",0,27440,26845,17008,61.21588,26,NA,0,0,0,0,0,52.99366575,18.5299136782053,2412.28966346154,0,1,0,0,0,0,0
"8703","2629000","Flint city, Michigan",98297,41.6,54293,45.5,304,"35.2",3763,"39.6",35993,"34.3","11.404408",26,29000,"Flint",33.416,0,0,4,0,0,3,3,0,0,539,13,"D ",1,29000,42781,5275,89.02322,26,817,17500,0,0,1,0,11.404408,55.2336286967049,2941.61479530764,17.8031882966927,0,0,0.406930018210118,0,0.305197513657589,0
"8741","2634000","Grand Rapids city, Michigan",183823,26.7,39341,43.7,3263,"13.9",29565,"42.2",106127,"15.6","31.10061194",26,34000,"Grand Rapids",44.395,0,0,0,0,0,0,0,0,0,540,5,"D ",0,34000,56606,28889,66.20972,26,819,15000,0,0,0,0,31.10061194,21.401565636509,4140.62394413785,8.16002350086768,0,0,0,0,0,0
"8809","2641420","Jackson city, Michigan",32587,36.7,7576,54.1,137,"19.7",1867,"32",21880,"30.8","15.08185125",26,41420,"Jackson",10.846,0,0,0,0,0,0,0,0,0,544,4,"I",0,41420,9546,4900,66.08058,26,NA,0,0,0,1,0,15.08185125,23.2485346917482,3004.51779457865,0,0,0,0,0,0,0
"8814","2642160","Kalamazoo city, Michigan",68112,35,14616,46.6,1856,"42.1",4717,"46.9",44249,"29.7","33.2591297",26,42160,"Kalamazoo",24.679,1,50,2,0,0,0,0,0,0,545,10,"D",1,42160,25833,8051,76.23952,26,826,2500,0,0,1,0,33.2591297,21.4587737843552,2759.91733862798,3.67042518205309,0,0,0.293634014564247,0,0,1
"8820","2642820","Kentwood city, Michigan",49298,14.1,8276,27.6,3758,"16.9",4266,"25.2",30817,"8.4","33.21108901",26,42820,"Kentwood",20.904,0,0,0,0,0,0,0,0,0,NA,0,"R",0,42820,12578,10622,54.21552,26,NA,0,0,0,0,0,33.21108901,16.787699298146,2358.30463069269,0,1,0,0,0,0,0
"8845","2646000","Lansing city, Michigan",113788,29.4,24825,36.5,4697,"30",14389,"35.9",62901,"23.2","25.13633076",26,46000,"Lansing",35.996,1,0,0,0,0,0,0,1,0,547,5,"D",0,46000,39937,12400,76.30739,26,827,15000,0,0,1,0,25.13633076,21.8168875452596,3161.12901433493,13.1824093929061,0,0,0,0,0,1
"8861","2647800","Lincoln Park city, Michigan",37524,19.5,2134,37.9,60,"10",6259,"23",28267,"17.2","8.248484608",26,47800,"Lincoln Park",5.887,0,0,0,0,0,0,0,0,0,NA,0,"I",0,47800,11266,5139,68.67418,26,NA,0,0,0,0,0,8.248484608,5.68702696940625,6374.04450484118,0,0,0,0,0,0,0
"8865","2649000","Livonia city, Michigan",94800,6.1,2581,24,2773,"7.2",2276,"5",85697,"5.4","36.06504823",26,49000,"Livonia",35.707,0,0,0,0,0,0,0,0,0,NA,0,"D ",0,49000,29011,28848,50.14086,26,828,2500,0,0,0,0,36.06504823,2.72257383966245,2654.94160808805,2.63713080168776,0,0,0,0,0,0
"8919","2653780","Midland city, Michigan",40774,14.7,684,16.1,1797,"4.2",987,"22.8",36425,"14.6","42.61531181",26,53780,"Midland",33.515,0,0,0,0,0,0,0,0,0,NA,0,"NP",0,53780,11433,11753,49.30993,26,NA,0,0,0,0,0,42.61531181,1.67753960857409,1216.5895867522,0,0,0,0,0,0,0
"8940","2656320","Muskegon city, Michigan",32851,35.8,9988,48.4,136,"0",2381,"28",18320,"29.7","13.03355832",26,56320,"Muskegon",14.294,0,0,0,0,0,0,0,0,0,551,4,"I",0,56320,12040,2920,80.48128,26,831,5000,0,0,0,0,13.03355832,30.4039450853855,2298.23702252693,15.220236826885,0,0,0,0,0,0
"8966","2659440","Novi city, Michigan",56421,6.4,4102,21.5,10008,"2.3",1543,"7.1",39480,"5.5","56.17495712",26,59440,"Novi",30.262,0,0,0,0,0,0,0,0,0,NA,0,"R",0,59440,12915,12666,50.48669,26,NA,0,0,0,0,0,56.17495712,7.27034260293153,1864.41742118829,0,1,0,0,0,0,0
"9018","2665440","Pontiac city, Michigan",58182,37.8,29825,38.1,1376,"23.8",9860,"48.9",14496,"28.4","11.13137646",26,65440,"Pontiac",19.969,0,0,0,0,0,0,0,0,0,NA,0,"D ",1,65440,19464,2587,88.26811,26,NA,0,0,0,0,0,11.13137646,51.2615585576295,2913.61610496269,0,0,0,0,0,0,0
"9020","2665560","Portage city, Michigan",46933,11,2718,39.1,1390,"8",1408,"23.1",40182,"9","40.22539396",26,65560,"Portage",32.29,0,0,0,0,0,0,0,1,0,NA,0,"R",0,65560,14546,11751,55.31429,26,NA,0,0,0,0,0,40.22539396,5.7912343127437,1453.48405078972,0,1,0,0,0,0,0
"9046","2669035","Rochester Hills city, Michigan",71168,6.1,3890,7.8,7174,"5",2350,"5.3",56185,"6","52.71288166",26,69035,"Rochester Hills",32.82,0,0,0,0,0,0,0,0,0,NA,0,"R",0,69035,18815,19901,48.59748,26,837,2500,0,0,0,0,52.71288166,5.46593974820144,2168.4338817794,3.51281474820144,1,0,0,0,0,0
"9056","2669800","Roseville city, Michigan",47010,17.4,6791,30.7,838,"8.2",1292,"37.1",36236,"14.1","10.37967598",26,69800,"Roseville",9.817,0,0,0,0,0,0,0,0,0,NA,0,"I",0,69800,13728,7665,64.17052,26,838,30000,0,0,0,0,10.37967598,14.4458625824293,4788.63196495874,63.8162093171666,0,0,0,0,0,0
